date,inf_pH,inf_temp,inf_CODt,inf_CODs,inf_TKN,inf_NH4N,inf_TS,inf_VS,acid_pH,acid_temp,acid_CODt,acid_CODs,acid_TKN,acid_NH4N,acid_TS,acid_VS,meth_pH,meth_temp,meth_CODt,meth_CODs,meth_TKN,meth_NH4N,meth_TS,meth_VS,biogas_flow_m3d
26/09/2025,6.82,28.9,80000,33877,2352,1413,35426,27446,5.7,29.2,69093,47844,2203,1680,31711,24250,6.85,29.1,23618,8465,2107,1624,22519,12805,218.7
30/09/2025,7.68,29,67246,25991,1855,1340,34442,24513,5.95,29.5,53933,32730,1810,1665,31185,20055,6.86,29.4,20004,6420,1585,1506,20372,10422,182.57
03/10/2025,6.87,28.4,80000,25029,2085,1553,42603,29017,5.99,28.6,63282,38409,2041,1774,36947,24456,7.08,28.4,31097,9837,1749,1662,24075,13261,207.67
07/10/2025,7.3,29.7,70798,26020,2212,1327,39681,30508,5.71,30.4,61345,37136,2143,1568,33063,26925,6.95,30.3,20616,6864,1984,1643,21913,14807,196.87
10/10/2025,7.53,28.6,62899,21461,2642,1585,29388,23203,5.76,29.3,53285,33985,2707,1909,25261,17448,6.99,29.2,26520,7450,2562,2082,15346,10438,173.3
14/10/2025,7.65,28.7,71934,26263,2335,1580,33218,26852,6.06,29.3,60240,38035,2335,1730,30996,21357,6.88,29.1,20621,7719,2185,1738,22654,11213,211.8
17/10/2025,7.11,26,65554,19224,2398,1682,36438,29518,6.17,26.3,56015,31553,2463,1827,33071,25135,6.97,26.8,21167,9703,2269,1990,19686,11527,185.15
21/10/2025,6.94,28.6,60234,20636,1958,1490,26576,20117,5.61,29.4,47065,28856,1830,1684,25045,17951,7.13,29.4,19739,6902,1727,1641,17959,10055,208.45
24/10/2025,7.18,26.9,69942,24482,2850,1942,33577,25673,6.06,27.1,56780,33348,2877,2311,28094,20417,6.86,27.1,23313,8152,2807,2419,17314,10422,200.79
28/10/2025,7.23,26.6,58860,21651,2269,1272,32865,23639,5.24,27.5,54602,36758,2248,1488,26987,17916,7.22,27.6,22753,7883,2134,1616,19419,8956,139.46
31/10/2025,7.52,26.8,56812,21011,2428,1451,30073,23503,6.03,27.3,50153,30652,2444,1602,25073,20270,7.1,27.5,17313,7595,2292,1755,14708,9279,161.8
04/11/2025,6.95,27.5,54318,17503,1594,1091,23926,18145,6.19,27.5,46603,21696,1530,1300,21363,13912,7.21,27.3,16734,5252,1447,1373,13695,6331,144.35
07/11/2025,6.85,26.1,59309,23522,2229,1339,25386,20210,5.29,26.8,47130,35304,2272,1662,22836,17697,7.29,27.1,17729,9372,2162,1837,15038,8606,160.81
11/11/2025,7.62,26.9,53622,22984,1957,1410,23370,17763,6.12,27.5,46153,29873,1840,1495,19782,15186,7.4,27.9,19046,6815,1697,1432,11476,8814,120
14/11/2025,7.64,25.9,53267,15543,1560,880,29633,21592,5.73,26.6,45969,24257,1514,989,27375,16316,7.31,26.5,22527,6447,1451,942,18840,8191,120
18/11/2025,7.39,26,50000,19059,1763,1030,26841,21339,5.52,26.1,42186,26334,1750,1283,24997,16734,6.88,26.2,17071,5065,1701,1394,14881,9418,120
21/11/2025,7.5,26.6,54707,20718,1431,968,25644,19701,5.84,27.5,48257,25829,1411,1138,23462,15822,7.19,28,19194,5871,1365,1210,15469,10130,159.83
25/11/2025,7.48,23,50000,18425,2182,1684,24411,18115,5.31,23.5,39290,26329,2097,1929,22071,13697,6.93,23.5,14120,7417,2021,1847,15209,7536,126.85
28/11/2025,6.82,25.5,59454,19998,1644,1109,31884,21818,5.8,26.2,54400,29900,1532,1248,27816,18435,6.94,26.7,16230,6968,1407,1241,20121,9983,177.49
